Date,Sales Name
7/18/2015,Eid & Rathayatra sale
7/19/2015,Eid & Rathayatra sale
8/15/2015,Independence Sale
8/16/2015,Independence Sale
8/17/2015,Independence Sale
8/28/2015,Rakshabandhan Sale
8/29/2015,Rakshabandhan Sale
8/30/2015,Rakshabandhan Sale
10/15/2015,Daussera sale
10/16/2015,Daussera sale
10/17/2015,Daussera sale
11/7/2015,Big Diwali Sale
11/8/2015,Big Diwali Sale
11/9/2015,Big Diwali Sale
11/10/2015,Big Diwali Sale
11/11/2015,Big Diwali Sale
11/12/2015,Big Diwali Sale
11/13/2015,Big Diwali Sale
11/14/2015,Big Diwali Sale
12/25/2015,Christmas & New Year Sale
12/26/2015,Christmas & New Year Sale
12/27/2015,Christmas & New Year Sale
12/28/2015,Christmas & New Year Sale
12/29/2015,Christmas & New Year Sale
12/30/2015,Christmas & New Year Sale
12/31/2015,Christmas & New Year Sale
1/1/2016,Christmas & New Year Sale
1/2/2016,Christmas & New Year Sale
1/3/2016,Christmas & New Year Sale
1/20/2016,Republic Day
1/21/2016,Republic Day
1/22/2016,Republic Day
2/1/2016,BED
2/2/2016,BED
2/14/2016,Valentine's Day
2/15/2016,Valentine's Day
2/20/2016,FHSD
2/21/2016,FHSD
3/7/2016,BSD-5
3/8/2016,BSD-5
3/9/2016,BSD-5
5/25/2016,Pacman
5/26/2016,Pacman
5/27/2016,Pacman
